"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Alachua","9,669","55","0","1","16","38","346","89","244","13","1"
"Altamonte Springs","39,797","184","1","18","43","122","1,551","294","1,158","99","7"
"Altha","521","1","0","0","0","1","7","1","6","0","0"
"Apalachicola","2,197","4","0","0","0","4","37","9","25","3","0"
"Apopka","39,308","263","1","10","84","168","1,527","353","1,097","77","7"
"Arcadia","6,788","105","0","4","23","78","310","95","202","13","1"
"Astatula","1,887","3","0","0","0","3","3","1","2","0","1"
"Atlantic Beach","13,124","83","0","5","14","64","449","88","344","17","0"
"Atlantis","2,074","7","0","0","1","6","8","3","5","0","0"
"Auburndale","14,619","92","1","9","30","52","786","238","524","24","2"
"Aventura","29,743","68","0","3","31","34","2,127","138","1,931","58","5"
"Avon Park","9,090","75","0","4","23","48","491","155","309","27","2"
"Bal Harbour Village","3,099","2","0","0","0","2","68","5","61","2","0"
"Bartow","17,069","140","0","8","37","95","1,149","305","813","31","1"
"Bay Harbor Islands","4,912","5","0","1","1","3","70","23","40","7","1"
"Belleair","4,073","2","0","0","2","0","103","21","79","3","3"
"Belleair Beach","1,581","0","0","0","0","0","47","14","33","0","0"
"Belleair Bluffs","2,155","5","0","0","3","2","65","12","51","2","0"
"Belle Glade","16,642","415","3","10","116","286","1,476","420","974","82","7"
"Belle Isle","6,553","10","0","3","0","7","125","50","66","9","0"
"Belleview","4,538","20","0","3","3","14","237","68","165","4","1"
"Biscayne Park","2,930","9","0","0","3","6","65","27","34","4","0"
"Blountstown","2,517","4","0","0","0","4","29","4","25","0","0"
"Boca Raton","85,956","217","2","24","78","113","3,087","554","2,375","158","3"
"Bonifay","2,772","4","0","2","1","1","22","15","6","1","0"
"Bowling Green","2,958","15","0","1","2","12","73","17","47","9","0"
"Boynton Beach","69,211","648","2","8","182","456","3,607","837","2,610","160","4"
"Bradenton","53,951","422","4","12","136","270","2,292","537","1,605","150","3"
"Bradenton Beach","1,560","3","0","1","0","2","108","17","89","2","0"
"Brooksville","8,375","57","1","3","11","42","350","70","265","15","1"
"Bunnell","3,281","63","0","0","9","54","151","35","97","19","0"
"Bushnell","2,301","6","0","2","0","4","128","29","93","6","0"
"Cape Coral","164,344","332","3","16","92","221","4,233","1,267","2,792","174","10"
"Carrabelle","1,222","7","0","0","0","7","23","14","8","1","0"
"Casselberry","24,782","156","2","12","42","100","1,086","195","817","74","1"
"Cedar Key","999","0","0","0","0","0","16","3","13","0","0"
"Center Hill","1,124","0","0","0","0","0","20","5","12","3","0"
"Chattahoochee","3,746","22","0","1","2","19","62","20","34","8","0"
"Chiefland","2,149","17","0","0","0","17","138","51","83","4","0"
"Chipley","3,800","17","0","3","1","13","46","7","37","2","0"
"Clearwater","105,383","924","3","43","275","603","4,720","802","3,617","301","17"
"Clermont","13,484","106","1","6","29","70","903","209","662","32","1"
"Clewiston","7,248","52","0","3","11","38","326","107","204","15","2"
"Cocoa","16,418","616","5","20","83","508","1,329","456","821","52","5"
"Cocoa Beach","11,860","80","0","7","16","57","855","88","739","28","2"
"Coconut Creek","50,385","72","2","3","13","54","1,509","299","1,128","82","3"
"Cooper City","29,392","64","0","3","14","47","665","123","525","17","3"
"Coral Gables","42,784","100","1","3","37","59","2,100","462","1,538","100","0"
"Coral Springs","125,656","338","2","4","90","242","2,918","541","2,222","155","3"
"Crescent City","1,817","12","0","0","4","8","58","22","35","1","1"
"Crestview","20,023","115","1","15","27","72","702","127","547","28","3"
"Cross City","1,824","5","0","0","0","5","63","17","46","0","2"
"Crystal River","3,559","39","0","2","4","33","234","44","184","6","0"
"Cutler Bay","28,935","199","5","8","57","129","2,095","340","1,626","129","0"
"Dade City","7,321","59","0","0","10","49","373","141","221","11","1"
"Dania","28,065","279","3","12","100","164","1,511","321","1,024","166","3"
"Davenport","2,646","1","0","0","0","1","77","26","42","9","0"
"Davie","90,147","437","4","21","91","321","3,869","686","2,828","355","20"
"Daytona Beach","64,257","975","9","38","290","638","4,694","1,023","3,148","523","12"
"Daytona Beach Shores","5,225","29","0","1","5","23","206","85","106","15","0"
"Deerfield Beach","74,509","468","2","23","145","298","2,408","501","1,745","162","3"
"De Funiak Springs","5,008","77","1","4","5","67","241","109","122","10","1"
"Deland","28,009","225","0","4","66","155","1,373","504","800","69","6"
"Delray Beach","64,522","606","3","29","218","356","3,430","771","2,448","211","8"
"Doral","32,209","84","1","5","17","61","2,588","328","2,077","183","2"
"Dunedin","35,963","122","0","8","27","87","1,209","191","980","38","3"
"Dunnellon","2,021","10","0","0","0","10","88","32","56","0","0"
"Eatonville","2,354","64","0","6","16","42","127","66","46","15","1"
"Edgewater","21,714","60","1","4","9","46","591","186","366","39","4"
"Edgewood","2,101","3","0","0","1","2","86","24","57","5","0"
"El Portal","2,297","14","0","0","7","7","93","54","33","6","0"
"Eustis","19,500","68","0","3","20","45","577","115","423","39","5"
"Fellsmere","5,054","17","2","0","6","9","69","18","42","9","0"
"Fernandina Beach","11,714","56","0","4","22","30","458","108","340","10","0"
"Flagler Beach","5,963","17","0","0","1","16","113","32","74","7","0"
"Florida City","10,204","364","1","4","133","226","1,443","365","1,017","61","3"
"Fort Lauderdale","182,942","1,481","13","56","685","727","10,374","2,907","6,780","687","39"
"Fort Myers","67,031","819","17","23","226","553","2,831","710","1,821","300","9"
"Fort Pierce","41,114","519","8","23","134","354","2,508","722","1,653","133","8"
"Fort Walton Beach","18,759","95","1","13","31","50","768","140","579","49","5"
"Fruitland Park","4,413","9","2","3","1","3","121","27","84","10","0"
"Gainesville","115,265","1,156","3","95","239","819","6,384","1,487","4,457","440","42"
"Golden Beach","870","0","0","0","0","0","19","6","11","2","0"
"Graceville","2,428","2","0","0","0","2","46","15","29","2","0"
"Greenacres City","32,649","226","0","18","67","141","1,175","307","792","76","2"
"Green Cove Springs","6,693","81","0","6","9","66","359","88","256","15","10"
"Greensboro","598","3","0","0","2","1","13","3","10","0","0"
"Gretna","1,603","31","0","0","2","29","21","10","10","1","0"
"Groveland","8,445","18","0","0","2","16","142","44","89","9","2"
"Gulf Breeze","6,689","9","0","2","0","7","131","16","114","1","1"
"Gulfport","12,286","56","1","0","23","32","624","165","380","79","2"
"Gulf Stream","737","0","0","0","0","0","18","1","15","2","0"
"Haines City","19,610","99","0","3","38","58","845","251","556","38","0"
"Hallandale","38,644","364","2","15","87","260","1,642","388","1,131","123","5"
"Hampton","460","0","0","0","0","0","4","4","0","0","0"
"Havana","1,689","13","0","1","4","8","52","13","38","1","0"
"Hialeah","208,874","925","8","32","309","576","8,213","1,093","5,957","1,163","20"
"Hialeah Gardens","19,667","58","1","1","27","29","884","137","627","120","1"
"Highland Beach","3,988","0","0","0","0","0","32","7","23","2","0"
"High Springs","4,696","27","0","1","3","23","141","27","110","4","1"
"Hillsboro Beach","2,252","4","0","1","0","3","30","6","23","1","0"
"Holly Hill","13,321","116","1","5","28","82","593","184","344","65","1"
"Hollywood","141,597","696","7","40","317","332","6,841","1,687","4,481","673","14"
"Holmes Beach","5,023","9","0","0","1","8","252","72","178","2","0"
"Homestead","62,037","901","3","26","294","578","3,288","1,095","1,945","248","5"
"Howey-in-the-Hills","1,282","0","0","0","0","0","10","5","5","0","0"
"Hypoluxo","2,592","1","0","0","0","1","34","8","25","1","0"
"Indialantic","2,930","13","0","1","3","9","131","20","108","3","0"
"Indian Creek Village","37","0","0","0","0","0","1","0","1","0","0"
"Indian Harbour Beach","8,328","14","0","2","7","5","189","28","151","10","1"
"Indian River Shores","3,387","0","0","0","0","0","24","7","15","2","0"
"Indian Rocks Beach","5,143","16","0","1","1","14","170","26","139","5","0"
"Indian Shores","4,235","6","0","2","0","4","97","14","81","2","0"
"Inglis","1,652","11","0","0","0","11","32","7","22","3","0"
"Interlachen","1,508","8","0","0","1","7","91","23","64","4","0"
"Jacksonville","810,064","6,772","99","218","2,359","4,096","41,781","11,306","27,754","2,721","103"
"Jacksonville Beach","21,750","226","1","14","69","142","1,415","186","1,156","73","8"
"Jasper","2,047","11","0","1","0","10","85","34","46","5","1"
"Jennings","844","8","0","0","2","6","11","5","6","0","0"
"Juno Beach","3,338","5","0","0","2","3","86","16","70","0","0"
"Jupiter","51,514","137","5","13","39","80","1,385","284","1,054","47","5"
"Jupiter Inlet Colony","387","0","0","0","0","0","5","1","4","0","0"
"Jupiter Island","672","1","0","0","1","0","16","7","7","2","0"
"Kenneth City","4,285","29","0","0","4","25","233","41","188","4","0"
"Key Biscayne","9,655","6","0","0","0","6","207","9","193","5","0"
"Key Colony Beach","757","1","0","0","1","0","21","4","17","0","0"
"Key West","22,049","195","1","20","68","106","1,830","408","1,288","134","1"
"Kissimmee","63,986","555","4","17","129","405","2,928","877","1,892","159","11"
"Lady Lake","15,282","33","0","4","4","25","289","46","226","17","2"
"Lake Alfred","4,560","4","0","0","2","2","117","23","85","9","2"
"Lake City","12,709","161","3","3","32","123","978","251","703","24","3"
"Lake Clarke Shores","3,313","6","0","0","0","6","68","27","38","3","0"
"Lake Hamilton","1,450","5","0","0","1","4","117","52","56","9","2"
"Lake Helen","2,784","11","0","0","1","10","59","16","39","4","0"
"Lakeland","94,322","487","5","33","169","280","5,030","1,247","3,515","268","10"
"Lake Mary","15,604","30","0","2","3","25","306","75","220","11","2"
"Lake Park","8,664","109","0","4","58","47","866","99","729","38","3"
"Lake Placid","1,897","6","0","0","1","5","69","12","55","2","0"
"Lake Wales","14,875","68","0","0","29","39","872","189","667","16","1"
"Lake Worth","35,500","527","9","25","224","269","2,059","775","1,148","136","3"
"Lantana","10,150","57","0","3","22","32","602","147","416","39","2"
"Largo","72,567","517","1","46","133","337","3,175","519","2,477","179","10"
"Lauderdale-by-the-Sea","5,825","22","0","1","5","16","194","30","157","7","2"
"Lauderdale Lakes","32,087","403","4","14","145","240","1,750","401","1,240","109","7"
"Lauderhill","67,005","525","4","22","164","335","2,402","843","1,330","229","15"
"Lawtey","705","1","0","0","0","1","29","14","15","0","0"
"Leesburg","22,836","221","1","21","45","154","1,272","280","936","56","1"
"Lighthouse Point","11,107","24","0","0","11","13","327","44","277","6","0"
"Live Oak","7,298","103","0","3","50","50","299","149","141","9","0"
"Longboat Key","7,277","2","0","0","0","2","170","18","149","3","1"
"Longwood","13,453","89","0","6","16","67","554","185","350","19","3"
"Lynn Haven","15,606","68","0","4","11","53","518","158","356","4","0"
"Madeira Beach","4,320","23","0","2","5","16","337","45","280","12","0"
"Madison","3,036","56","1","6","14","35","212","47","160","5","0"
"Maitland","14,984","35","0","4","9","22","496","177","282","37","0"
"Manalapan","341","2","0","0","0","2","19","0","19","0","0"
"Mangonia Park","1,224","62","2","2","20","38","251","46","176","29","0"
"Marco Island","15,713","10","0","0","0","10","155","18","132","5","1"
"Margate","54,032","215","0","6","50","159","1,123","301","753","69","5"
"Marianna1","6,290","22","0","7","0","15","253","80","169","4","0"
"Mascotte","6,032","28","2","3","3","20","102","31","63","8","0"
"Medley","1,017","4","0","0","1","3","365","40","261","64","0"
"Melbourne","77,854","906","6","24","192","684","3,980","737","3,058","185","7"
