"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Hokes Bluff","4,485","3","0","0","1","2","42","0","41","1",""
"Hollywood","921","0","0","0","0","0","10","0","9","1",""
"Homewood","23,708","117","1","4","90","22","1,594","339","1,168","87",""
"Hoover","71,919","88","2","9","44","33","2,288","439","1,762","87","1"
"Huntsville","178,601","1,164","13","89","433","629","9,790","2,520","6,375","895",""
"Hurtsboro","541","0","0","0","0","0","22","12","9","1",""
"Ider","721","1","0","0","0","1","20","5","15","0",""
"Jackson","5,069","25","0","5","3","17","175","54","105","16",""
"Jacksonville","10,276","47","0","3","17","27","630","262","334","34",""
"Jasper","14,129","69","0","11","26","32","1,400","181","1,147","72",""
"Jemison","3,008","17","0","2","0","15","116","23","86","7",""
"Killen","1,145","11","0","0","4","7","62","22","37","3",""
"Kimberly","2,887","1","0","0","0","1","44","9","31","4",""
"Kinston","615","2","0","0","0","2","8","5","3","0",""
"Lafayette","2,858","34","0","1","5","28","179","47","125","7","0"
"Leeds","11,398","68","0","3","38","27","694","172","488","34",""
"Leesburg","823","8","0","0","0","8","53","17","35","1",""
"Leighton","827","0","0","0","0","0","13","5","8","0",""
"Level Plains","1,507","12","0","1","1","10","46","10","35","1",""
"Lexington","843","1","0","0","0","1","21","4","16","1",""
"Lincoln","5,963","23","0","5","7","11","331","86","217","28",""
"Linden","2,237","11","0","1","1","9","39","8","26","5",""
"Littleville","1,043","0","0","0","0","0","23","3","17","3",""
"Lockhart","538","2","0","0","0","2","5","0","4","1",""
"Louisville","560","1","0","1","0","0","7","2","4","1",""
"Luverne","2,768","8","0","0","1","7","93","14","75","4",""
"Lynn","711","0","0","0","0","0","9","3","6","0",""
"Madison","39,880","59","3","3","17","36","877","176","669","32","1"
"Maplesville","692","3","0","1","2","0","29","4","25","0",""
"Marion","3,270","34","0","1","1","32","182","64","108","10",""
"McIntosh","233","0","0","0","0","0","20","3","16","1",""
"McKenzie","602","1","0","0","0","1","7","2","4","1",""
"Mentone","485","0","0","0","0","0","9","6","3","0",""
"Midland City","1,904","13","1","1","1","10","19","8","10","1",""
"Millbrook","17,383","9","1","2","4","2","504","128","374","2",""
"Millry","590","0","0","0","0","0","6","2","3","1",""
"Mobile4","246,171","1,994","24","37","857","1,076","14,123","3,716","9,457","950","91"
"Montevallo","6,469","8","0","0","2","6","181","53","124","4",""
"Montgomery","202,818","871","31","85","453","302","11,065","3,092","7,113","860",""
"Moody","14,175","10","3","3","0","4","471","104","324","43",""
"Morris","1,894","1","0","0","0","1","18","1","14","3",""
"Mosses","1,033","2","1","0","0","1","9","7","1","1",""
"Moulton","3,267","12","0","0","0","12","101","12","87","2",""
"Moundville","2,696","10","0","0","1","9","95","21","66","8",""
"Mount Vernon","812","15","0","0","0","15","54","24","25","5",""
"Muscle Shoals","13,125","66","0","4","12","50","541","93","430","18","0"
"Napier Field","395","6","0","1","0","5","17","7","9","1",""
"New Brockton","1,233","0","0","0","0","0","18","7","11","0",""
"New Hope","2,778","4","0","0","1","3","46","10","32","4",""
"New Site","829","1","0","0","0","1","2","0","1","1",""
"Newton","1,647","2","0","0","0","2","38","8","30","0",""
"Newville","542","0","0","0","0","0","10","3","7","0",""
"North Courtland","798","2","0","0","0","2","12","6","6","0",""
"Northport","23,498","130","2","7","29","92","1,188","272","856","60","1"
"Notasulga","838","5","0","0","0","5","21","8","13","0",""
"Oakman","925","1","0","0","0","1","19","7","11","1",""
"Odenville","2,291","3","0","0","1","2","62","12","45","5","0"
"Ohatchee","1,247","2","1","0","0","1","7","4","3","0",""
"Opelika2","27,087","","3","22","83","","","389","1,213","",""
"Opp","6,555","27","0","7","2","18","175","34","141","0",""
"Orange Beach","6,563","17","0","6","3","8","293","43","245","5",""
"Oxford","20,808","135","0","9","37","89","1,427","248","1,112","67",""
"Ozark","14,670","108","1","8","24","75","686","204","459","23",""
"Parrish","1,244","7","0","0","1","6","55","13","42","0",""
"Pelham","22,172","16","1","2","7","6","495","71","390","34",""
"Pell City","13,252","70","1","7","3","59","629","97","518","14",""
"Phenix City3","31,438","162","1","5","80","76","","","904","171",""
"Phil Campbell","1,048","1","0","0","1","0","31","5","24","2",""
"Pickensville","627","1","0","0","1","0","4","3","0","1",""
"Piedmont","4,952","24","0","2","2","20","192","41","138","13",""
"Pine Hill","907","12","1","0","0","11","35","10","24","1",""
"Pisgah","695","0","0","0","0","0","0","0","0","0",""
"Powell","983","1","0","0","0","1","11","1","10","0",""
"Prattville5","33,279","","0","6","27","","","","720","57",""
"Priceville","2,981","1","0","0","1","0","48","7","39","2",""
"Prichard","27,560","586","4","3","281","298","2,303","983","981","339",""
"Ragland","2,161","13","0","0","0","13","38","0","33","5",""
"Rainbow City","9,425","3","0","0","0","3","251","29","207","15",""
"Rainsville","5,046","6","0","0","0","6","87","13","71","3",""
"Ranburne","487","3","0","0","0","3","16","1","14","1",""
"Red Bay","3,288","10","0","1","1","8","45","8","34","3",""
"Red Level","547","0","0","0","0","0","3","1","1","1",""
"Reform","1,771","11","0","0","4","7","64","22","42","0",""
"Riverside","2,084","22","0","0","0","22","11","0","11","0",""
"Robertsdale","5,111","16","0","5","3","8","277","56","212","9",""
"Rockford","393","0","0","0","0","0","1","0","1","0",""
"Rogersville","1,205","0","0","0","0","0","13","2","7","4",""
"Samson","2,025","6","0","0","0","6","32","8","24","0",""
"Sardis City","2,206","3","0","0","1","2","76","17","54","5",""
"Satsuma","6,042","21","1","0","0","20","148","37","96","15",""
"Scottsboro","15,015","34","2","1","4","27","594","36","540","18",""
"Section","758","0","0","0","0","0","1","0","1","0",""
"Sheffield","9,072","28","0","3","10","15","381","93","279","9",""
"Shorter","377","3","1","0","1","1","33","6","21","6",""
"Silas","470","0","0","0","0","0","2","0","2","0",""
"Silverhill","707","2","0","0","0","2","43","14","26","3",""
"Sipsey","542","3","0","0","0","3","21","1","19","1",""
"Skyline","834","0","0","0","0","0","4","0","3","1",""
"Slocomb","2,046","6","0","0","1","5","23","7","15","1",""
"Snead","860","2","0","0","0","2","14","5","9","0",""
"Southside","8,572","21","0","3","0","18","94","13","80","1",""
"Spanish Fort","5,809","9","0","1","2","6","219","11","206","2",""
"Springville","3,814","3","0","0","0","3","94","20","71","3",""
"Steele","1,235","1","0","0","0","1","12","1","11","0",""
"Stevenson","2,015","8","0","0","0","8","40","5","35","0",""
"St. Florian","492","1","0","0","0","1","4","4","0","0",""
"Sulligent","1,949","5","0","0","0","5","35","6","26","3",""
"Sumiton","2,554","7","0","1","4","2","339","48","265","26",""
"Summerdale","756","5","0","3","0","2","45","13","31","1",""
"Sylacauga","12,844","78","1","11","16","50","781","229","542","10",""
"Sylvania","1,276","0","0","0","0","0","11","0","11","0",""
"Talladega","16,902","123","3","18","16","86","1,283","426","788","69",""
"Tarrant","6,445","80","1","3","35","41","586","213","342","31",""
"Taylor","2,004","1","0","0","0","1","7","2","3","2",""
"Thomasville","4,460","56","0","1","2","53","158","47","103","8",""
"Thorsby","2,097","3","0","2","0","1","26","6","18","2",""
"Town Creek","1,208","2","0","0","0","2","32","11","19","2",""
"Triana","493","0","0","0","0","0","11","3","6","2",""
"Trinity","2,003","1","0","0","0","1","24","4","18","2",""
"Troy","15,278","77","0","7","42","28","860","263","566","31",""
"Trussville","19,596","27","0","1","16","10","927","104","784","39",""
"Tuscaloosa","91,688","418","5","28","195","190","5,082","1,507","3,355","220",""
"Tuscumbia","8,346","13","0","1","7","5","302","78","218","6",""
"Tuskegee","11,281","159","5","4","13","137","770","190","541","39",""
"Union Springs","4,682","19","1","0","6","12","142","45","93","4",""
"Uniontown","1,397","11","0","0","1","10","46","10","31","5",""
"Valley","10,017","44","0","1","7","36","397","88","274","35",""
"Valley Head","654","1","0","0","0","1","16","5","10","1",""
"Vance","1,018","9","0","0","0","9","38","10","26","2",""
"Vernon","1,867","1","0","0","0","1","2","0","1","1",""
"Vestavia Hills","30,906","23","0","2","10","11","386","155","212","19",""
"Warrior","3,100","2","0","0","2","0","47","12","30","5",""
"Weaver","2,738","5","0","0","0","5","46","20","24","2",""
"Webb","1,375","2","0","0","0","2","12","2","9","1",""
"Wedowee","825","14","0","0","0","14","17","3","13","1",""
"West Blocton","1,433","2","0","0","0","2","7","1","6","0",""
"Wetumpka","7,964","42","2","1","10","29","368","74","283","11",""
"Winfield","4,626","18","0","0","0","18","146","33","102","11",""
"Woodstock","1,029","23","0","0","0","23","110","14","88","8",""
"York","2,481","27","0","0","4","23","102","22","69","11",""
