"City","Population","Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle
theft","Arson1"
"Abbeville","2,802","4","0","0","0","4","9","5","3","1","0"
"Acworth","20,193","93","1","0","3","89","550","64","463","23",""
"Adairsville","3,280","9","0","0","3","6","222","52","165","5","0"
"Adel","5,405","16","1","1","2","12","268","108","154","6","0"
"Alamo","2,722","8","0","0","1","7","23","4","19","0","0"
"Albany","75,734","812","8","47","221","536","4,788","1,451","3,048","289","14"
"Alpharetta","50,279","51","0","2","21","28","1,600","267","1,301","32","0"
"Alto","915","3","0","0","0","3","8","5","3","0",""
"Americus","16,467","199","2","1","28","168","1,135","425","663","47",""
"Aragon","1,083","0","0","0","0","0","32","0","32","0","0"
"Arcade","1,981","12","0","1","0","11","24","3","20","1",""
"Arlington","1,491","4","0","0","0","4","37","25","12","0","0"
"Athens-Clarke County","114,540","472","10","42","155","265","5,644","1,917","3,453","274","21"
"Atlanta","552,901","6,359","80","135","2,725","3,419","34,349","9,112","19,511","5,726","157"
"Attapulgus","468","0","0","0","0","0","0","0","0","0","0"
"Auburn","7,563","9","0","4","0","5","81","30","46","5","0"
"Austell","7,267","53","1","2","6","44","270","66","174","30",""
"Avondale Estates","2,854","2","1","0","1","0","82","18","56","8","0"
"Bainbridge","12,380","82","0","3","25","54","642","131","500","11",""
"Baldwin","3,028","0","0","0","0","0","50","4","43","3","0"
"Ball Ground","972","0","0","0","0","0","18","2","14","2","0"
"Barnesville","6,001","83","0","3","9","71","238","71","160","7","0"
"Baxley","4,575","25","2","0","6","17","208","58","146","4","0"
"Berlin","618","1","0","0","0","1","0","0","0","0","0"
"Blackshear","3,528","8","0","0","5","3","204","45","147","12","2"
"Blairsville","727","0","0","0","0","0","0","0","0","0","0"
"Blakely","5,212","22","1","1","7","13","103","39","64","0",""
"Bloomingdale","2,627","0","0","0","0","0","65","23","36","6","0"
"Blythe","827","0","0","0","0","0","15","5","8","2","0"
"Bowdon","2,066","0","0","0","0","0","56","9","47","0","0"
"Braselton","5,647","4","0","0","1","3","182","49","127","6","0"
"Bremen","5,842","39","0","1","6","32","341","67","246","28",""
"Brooklet","1,363","4","0","0","2","2","27","5","19","3","0"
"Brunswick","16,348","349","2","10","71","266","1,414","375","968","71","2"
"Buchanan","1,054","2","0","0","0","2","50","8","39","3",""
"Buena Vista","1,639","14","0","0","2","12","81","29","52","0",""
"Butler","1,808","12","0","1","1","10","25","12","12","1","0"
"Byron","4,515","32","1","0","0","31","190","34","147","9","0"
"Cairo","9,871","33","0","5","17","11","262","67","180","15","0"
"Calhoun","15,295","37","2","3","9","23","853","178","657","18","0"
"Camilla","5,658","103","0","2","6","95","270","57","212","1","1"
"Canton","25,370","28","1","3","8","16","486","63","406","17","0"
"Carrollton","23,679","308","2","11","25","270","1,292","229","998","65",""
"Cartersville","19,325","57","2","6","17","32","879","145","682","52","2"
"Cedartown","10,177","24","1","7","9","7","334","90","227","17","1"
"Centerville","7,502","15","1","1","2","11","325","50","261","14","4"
"Chamblee","11,410","91","1","2","59","29","789","112","605","72","3"
"Chatsworth","4,193","18","0","0","1","17","128","24","98","6","1"
"Chickamauga","2,608","18","0","0","1","17","100","24","73","3","0"
"Clarkston","7,871","61","1","3","33","24","281","99","152","30","0"
"Claxton","2,422","13","0","0","4","9","110","29","79","2","0"
"Cleveland","2,732","31","0","0","2","29","178","70","98","10","0"
"Climax","290","0","0","0","0","0","0","0","0","0","0"
"Cochran","5,302","22","1","2","6","13","237","49","183","5","2"
"College Park","19,936","300","3","14","151","132","2,049","590","1,198","261","8"
"Colquitt","1,911","5","0","1","0","4","52","12","39","1",""
"Columbus","186,224","1,153","13","47","574","519","14,684","3,792","9,374","1,518","49"
"Commerce","6,508","28","1","1","5","21","182","53","124","5","4"
"Conyers","13,798","75","0","6","38","31","988","174","749","65","4"
"Coolidge","559","1","0","1","0","0","4","2","1","1","0"
"Cordele","11,507","156","2","13","57","84","938","241","669","28","1"
"Covington","15,385","64","0","5","26","33","811","201","579","31","0"
"Cumming","5,909","12","0","3","7","2","330","42","275","13","0"
"Cuthbert","3,387","10","0","0","2","8","55","22","32","1",""
"Dalton","34,299","118","1","15","16","86","1,232","228","958","46",""
"Danielsville","452","1","0","0","0","1","36","13","23","0","0"
"Davisboro","1,879","0","0","0","0","0","12","3","9","0","0"
"Decatur","19,071","63","1","4","26","32","772","168","529","75",""
"Donalsonville","2,684","8","0","0","2","6","89","17","70","2","0"
"Doraville","10,308","77","2","1","31","43","405","111","242","52","0"
"Douglas","11,477","129","0","7","30","92","1,210","258","909","43","2"
"Douglasville","32,586","189","0","4","44","141","1,757","220","1,440","97","2"
"Dublin","17,666","131","1","12","28","90","1,302","310","966","26","0"
"Duluth","26,495","63","0","2","16","45","949","130","792","27","1"
"East Ellijay","705","5","0","1","1","3","124","4","120","0","0"
"East Point","43,753","433","6","21","253","153","3,377","1,113","1,827","437",""
"Eatonton","6,331","32","0","0","3","29","143","17","126","0","0"
"Edison","1,241","2","1","0","0","1","14","6","8","0","0"
"Elberton","4,524","44","0","2","7","35","507","125","373","9","0"
"Ellaville","1,861","7","0","0","0","7","14","1","12","1","0"
"Ellijay","1,587","0","0","0","0","0","0","0","0","0","0"
"Emerson","1,473","4","0","0","2","2","60","12","31","17","2"
"Ephesus","386","0","0","0","0","0","0","0","0","0","0"
"Eton","481","2","0","0","1","1","27","4","23","0","0"
"Fairburn","11,750","34","0","3","14","17","577","187","333","57","2"
"Fairmount","813","2","0","1","0","1","9","2","7","0","0"
"Flowery Branch","4,318","0","0","0","0","0","42","15","26","1",""
"Folkston","3,230","8","0","0","2","6","117","23","89","5","0"
"Forest Park","21,760","171","0","9","92","70","1,188","336","691","161",""
"Forsyth","5,148","24","0","1","4","19","225","41","174","10","0"
"Fort Gaines","991","0","0","0","0","0","0","0","0","0","0"
"Fort Oglethorpe","10,000","32","0","2","9","21","802","83","696","23","0"
"Fort Valley","8,178","89","1","4","9","75","576","169","400","7","0"
"Franklin","883","12","0","1","1","10","48","8","39","1","0"
"Franklin Springs","803","0","0","0","0","0","10","0","10","0","0"
"Gainesville","36,896","125","3","15","33","74","1,695","349","1,255","91","4"
"Garden City","9,329","151","1","6","24","120","450","106","264","80","1"
"Glennville","5,464","10","0","1","1","8","196","45","146","5","1"
"Glenwood","897","0","0","0","0","0","0","0","0","0","0"
"Gordon","2,103","2","0","0","2","0","40","8","29","3","2"
"Greensboro","3,281","36","0","2","6","28","168","42","115","11",""
"Greenville","921","4","0","0","0","4","38","5","30","3","0"
"Griffin","23,795","181","1","14","64","102","1,444","248","1,155","41","8"
"Guyton","2,006","4","0","1","0","3","20","8","10","2","0"
"Hagan","1,073","0","0","0","0","0","3","3","0","0","0"
"Hahira","2,579","5","0","0","3","2","45","7","37","1","0"
"Hampton","5,464","26","0","2","1","23","144","43","87","14","1"
"Hapeville","5,964","35","0","1","21","13","369","90","197","82","0"
"Harlem2","2,071","2","0","0","0","2","","20","","1","0"
"Hartwell","4,306","31","0","1","13","17","267","35","229","3","0"
"Hazlehurst","3,898","10","0","0","4","6","306","50","252","4",""
"Helen","903","13","0","0","1","12","57","7","49","1","0"
"Helena","2,466","6","1","0","0","5","18","17","1","0",""
"Hephzibah","4,610","17","0","1","4","12","153","44","93","16","0"
"Hiawassee","862","6","0","0","0","6","32","6","26","0","0"
"Hinesville","30,130","191","2","14","67","108","1,790","606","1,108","76","5"
"Hiram","2,129","32","0","1","6","25","436","36","388","12","1"
