"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Bethany Beach","947","3","0","0","0","3","142","9","133","0","0"
"Blades","1,006","0","0","0","0","0","5","2","3","0","0"
"Bridgeville","1,597","20","0","0","4","16","64","13","50","1","0"
"Camden","2,484","15","0","1","5","9","175","15","157","3","1"
"Cheswold","460","3","0","0","2","1","22","6","15","1","0"
"Clayton","1,438","4","0","0","0","4","33","6","25","2","0"
"Dagsboro","566","0","0","0","0","0","26","4","21","1","0"
"Delaware City","1,520","4","0","1","1","2","63","21","36","6","0"
"Delmar","1,498","5","0","0","1","4","61","14","47","0","0"
"Dewey Beach","313","17","0","1","0","16","53","11","42","0","0"
"Dover","35,133","277","1","16","62","198","1,861","111","1,625","125","11"
"Ellendale","348","0","0","0","0","0","0","0","0","0","0"
"Elsmere","5,721","54","1","2","13","38","190","41","118","31","0"
"Felton","857","2","0","0","0","2","14","4","10","0","0"
"Fenwick Island","359","1","0","0","0","1","14","1","13","0","0"
"Georgetown","4,964","94","1","8","42","43","243","81","152","10","0"
"Greenwood","891","2","0","0","0","2","19","7","12","0","0"
"Harrington","3,276","28","0","3","4","21","125","46","72","7","0"
"Laurel","3,842","72","0","8","22","42","174","26","138","10","1"
"Lewes","3,137","2","0","0","1","1","56","24","32","0","0"
"Milford","7,995","95","0","3","18","74","487","78","388","21","0"
"Millsboro","2,532","24","0","0","1","23","146","26","117","3","0"
"Milton","1,803","15","0","2","5","8","94","38","53","3","0"
"Newark","30,158","180","0","10","60","110","1,083","200","814","69","7"
"New Castle","4,960","23","0","0","5","18","257","35","210","12","0"
"Newport","1,106","7","0","0","4","3","51","16","32","3","0"
"Ocean View","1,109","4","0","2","0","2","31","12","18","1","0"
"Rehoboth Beach","1,562","15","0","0","4","11","245","49","194","2","0"
"Seaford","7,121","78","1","2","28","47","414","97","302","15","0"
"Selbyville","1,761","8","0","0","1","7","67","22","44","1","0"
"Smyrna","8,185","45","0","4","8","33","292","49","231","12","0"
"South Bethany","516","1","0","0","0","1","13","1","12","0","0"
"Wilmington","72,842","1,230","11","30","593","596","3,388","954","1,913","521","5"
"Wyoming","1,311","3","0","1","0","2","25","8","16","1","0"
