"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abbeville","2,955","8","0","1","1","6","105","16","83","6",""
"Adamsville","4,771","53","0","1","20","32","416","45","351","20",""
"Addison","720","4","0","0","0","4","23","1","21","1",""
"Alabaster","28,904","33","1","0","18","14","659","68","545","46",""
"Alexander City","15,053","131","2","14","24","91","1,016","182","784","50",""
"Aliceville","2,457","3","0","1","1","1","43","11","25","7",""
"Andalusia","8,727","40","0","3","7","30","381","63","300","18",""
"Anniston","23,736","541","9","20","188","324","2,912","942","1,723","247",""
"Arab","7,694","34","0","1","1","32","579","105","445","29",""
"Ardmore","1,145","0","0","0","0","0","41","9","27","5",""
"Ariton","747","0","0","0","0","0","1","0","1","0",""
"Ashford","1,967","2","0","0","0","2","34","10","21","3",""
"Ashland","1,856","3","0","0","0","3","26","2","21","3",""
"Ashville","2,503","4","0","0","2","2","54","9","40","5",""
"Atmore","7,452","83","0","5","19","59","568","131","420","17",""
"Auburn","53,160","176","2","25","44","105","2,559","630","1,838","91",""
"Autaugaville","885","2","0","0","0","2","27","12","13","2",""
"Bay Minette","7,674","54","1","3","9","41","376","73","281","22",""
"Bayou La Batre","2,761","25","0","1","4","20","325","70","229","26",""
"Bear Creek","1,016","6","0","0","0","6","24","2","19","3",""
"Berry","1,212","0","0","0","0","0","4","0","3","1",""
"Bessemer","28,217","502","10","34","195","263","3,534","903","2,373","258",""
"Birmingham","227,686","3,320","86","229","1,609","1,396","19,638","4,864","12,528","2,246","221"
"Blountsville","1,969","3","0","1","0","2","49","18","29","2",""
"Boaz","8,175","22","0","3","5","14","554","83","450","21",""
"Brantley","906","1","0","0","0","1","47","10","37","0",""
"Brent","4,328","3","0","0","2","1","71","17","52","2",""
"Brewton","5,304","103","0","2","12","89","254","43","205","6",""
"Bridgeport","2,698","2","0","0","1","1","121","27","77","17",""
"Brighton","3,358","0","0","0","0","0","1","0","1","0",""
"Brilliant","732","3","0","0","0","3","40","14","25","1",""
"Brundidge","2,305","21","0","1","4","16","97","13","80","4",""
"Butler","1,747","1","0","0","0","1","17","10","7","0",""
"Carbon Hill","2,048","7","0","1","1","5","153","28","107","18",""
"Carrollton","953","1","0","0","1","0","20","5","15","0",""
"Cedar Bluff","1,580","6","0","0","0","6","104","39","59","6",""
"Centre","3,411","3","0","1","1","1","166","19","139","8",""
