"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abbeville","2,939","16","0","1","2","13","79","21","54","4",""
"Addison","715","5","0","0","0","5","34","10","24","0",""
"Alexander City","14,917","204","3","14","47","140","1,024","190","790","44",""
"Aliceville","2,405","19","0","0","3","16","87","30","54","3",""
"Andalusia","8,689","56","0","8","4","44","477","94","361","22",""
"Anniston","23,620","572","13","30","179","350","2,429","788","1,478","163",""
"Arab","7,753","35","0","1","4","30","490","117","348","25",""
"Ardmore","1,209","1","0","0","0","1","20","3","15","2",""
"Argo","1,900","2","0","1","0","1","60","21","34","5",""
"Ashford","2,041","3","0","0","2","1","33","7","25","1",""
"Ashland","1,862","3","0","1","0","2","25","4","21","0",""
"Ashville","2,543","12","0","1","1","10","105","25","72","8",""
"Athens","23,432","53","0","4","19","30","849","141","675","33",""
"Atmore","7,391","77","3","5","19","50","542","108","403","31",""
"Attalla","6,515","60","0","5","7","48","363","47","308","8",""
"Auburn","55,649","181","2","17","56","106","2,894","1,022","1,818","54",""
"Autaugaville","877","0","0","0","0","0","15","8","7","0",""
"Bay Minette","7,710","67","0","7","15","45","391","56","318","17",""
"Bayou La Batre","2,716","22","1","0","10","11","275","73","184","18",""
"Bear Creek","999","4","0","0","0","4","30","8","20","2",""
"Berry","1,183","0","0","0","0","0","5","1","1","3",""
"Bessemer","28,479","579","5","28","193","353","3,716","1,046","2,392","278",""
"Birmingham","228,314","3,249","82","212","1,499","1,456","20,054","5,153","12,761","2,140","134"
"Blountsville","1,976","6","0","0","0","6","64","22","37","5",""
"Boaz","8,273","32","0","3","11","18","514","102","400","12",""
"Brent","4,384","21","0","1","3","17","114","26","86","2",""
"Brighton","3,247","2","0","0","1","1","11","4","7","0",""
"Brilliant","720","2","0","0","0","2","23","9","12","2",""
"Butler","1,699","0","0","0","0","0","18","7","9","2",""
"Calera","10,723","42","1","3","4","34","398","77","319","2",""
"Camden","2,210","6","0","0","0","6","23","6","17","0",""
"Carbon Hill","2,024","2","0","0","2","0","167","46","113","8",""
"Carrollton","929","0","0","0","0","0","10","4","5","1",""
"Centre","3,491","3","0","1","1","1","137","14","114","9",""
"Chatom","1,156","4","0","0","0","4","19","2","17","0",""
"Cherokee","1,167","3","0","0","1","2","11","4","7","0",""
"Chickasaw","5,935","45","2","3","17","23","428","143","240","45",""
"Clanton","8,849","54","0","5","8","41","480","80","374","26",""
"Clayhatchee","491","2","0","0","0","2","10","3","6","1","0"
"Clayton","1,358","13","0","0","1","12","37","6","28","3",""
"Coffeeville","344","1","0","0","0","1","3","0","2","1",""
"Collinsville","1,690","4","0","0","0","4","32","6","24","2",""
"Columbiana","3,839","11","0","1","3","7","152","32","119","1",""
"Coosada","1,645","2","0","0","1","1","28","5","22","1",""
"Cottonwood","1,176","3","0","0","0","3","21","6","14","1",""
"Courtland","762","2","0","0","0","2","12","2","8","2",""
"Crossville","1,464","0","0","0","0","0","13","3","7","3",""
"Dadeville","3,220","30","0","0","4","26","199","53","140","6",""
"Daleville","4,512","11","0","3","5","3","179","63","103","13",""
"Dauphin Island","1,605","1","0","0","1","0","65","24","39","2",""
"Decatur","55,941","291","3","29","123","136","3,996","976","2,889","131",""
"Demopolis","7,328","96","4","3","8","81","540","92","444","4",""
"Dora","2,411","4","0","0","1","3","103","33","55","15",""
"Dothan","66,412","400","3","30","189","178","3,513","859","2,506","148",""
"Double Springs","979","7","0","0","1","6","49","7","40","2",""
"Douglas","583","5","0","1","1","3","52","25","19","8",""
"Dozier","397","0","0","0","0","0","1","0","1","0",""
"East Brewton","2,489","9","0","1","2","6","112","28","75","9",""
"Eclectic","1,160","7","0","0","1","6","62","11","49","2",""
"Elba","4,124","15","0","2","1","12","185","48","134","3",""
"Elberta","582","10","0","1","2","7","125","35","79","11",""
"Enterprise","24,863","108","1","9","48","50","331","129","173","29",""
"Eutaw","2,941","26","0","0","7","19","105","39","59","7",""
"Evergreen","3,390","20","0","0","1","19","133","33","91","9",""
"Excel","600","2","0","0","0","2","9","2","7","0",""
"Fairfield","11,303","187","3","9","99","76","1,464","408","912","144",""
