"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Arkadelphia","10,826","45","0","7","8","30","402","146","243","13","2"
"Ashdown","4,407","12","1","2","1","8","161","28","121","12","2"
"Atkins","2,963","1","0","0","1","0","86","25","58","3","0"
"Augusta","2,278","12","0","0","0","12","45","8","37","0","0"
"Austin","1,719","0","0","0","0","0","21","3","18","0","0"
"Bald Knob","3,389","10","0","2","1","7","134","36","93","5","0"
"Barling","4,475","13","0","2","0","11","65","16","47","2","1"
"Bay","2,038","1","0","0","0","1","14","7","7","0","0"
"Bearden","992","8","0","0","0","8","37","20","16","1","0"
"Beebe","6,883","40","0","10","2","28","452","211","229","12","3"
"Bella Vista","16,120","14","0","5","2","7","144","50","93","1","1"
"Benton","29,121","97","1","6","18","72","1,421","358","988","75","5"
"Bentonville2","35,970","53","0","3","5","45","616","88","508","20","3"
"Berryville","5,284","21","0","7","4","10","340","99","223","18","3"
"Blytheville","15,829","194","4","11","56","123","1,241","469","685","87","17"
"Booneville","4,070","24","0","3","2","19","129","38","89","2","4"
"Brinkley","3,215","2","0","0","2","0","104","26","76","2","1"
"Bryant","15,218","38","0","10","4","24","777","164","575","38","2"
"Bull Shoals","2,109","6","0","0","0","6","34","7","27","0","0"
"Cabot","24,387","59","0","9","4","46","831","355","449","27","2"
"Camden","11,489","57","2","2","20","33","717","206","479","32","0"
"Cammack Village","775","0","0","0","0","0","18","12","5","1","0"
"Carlisle","2,369","2","0","1","1","0","106","64","40","2","0"
"Cave City","2,057","2","0","0","0","2","44","4","40","0","1"
"Cave Springs","1,620","2","0","0","0","2","29","1","28","0","0"
"Centerton","9,522","13","0","3","0","10","69","25","41","3","0"
"Charleston","3,013","1","0","0","1","0","29","8","21","0","1"
"Cherokee Village","4,799","4","0","0","0","4","113","34","77","2","0"
"Clarendon","1,680","0","0","0","0","0","0","0","0","0","0"
"Clarksville2","8,621","17","0","7","0","10","353","47","298","8","1"
"Clinton","2,388","3","0","0","0","3","59","10","47","2","0"
"Conway2","58,945","230","0","32","62","136","2,778","906","1,743","129","6"
"Corning","3,330","6","0","3","0","3","40","21","18","1","1"
"Cotter","1,083","4","0","0","0","4","36","5","29","2","0"
"Crossett","5,474","32","0","1","6","25","230","87","139","4","2"
"Dardanelle","4,422","22","0","5","5","12","138","82","54","2","1"
"Decatur","1,948","4","0","0","0","4","22","10","10","2","0"
"De Queen","5,899","24","0","6","3","15","268","97","159","12","1"
"Des Arc","1,720","6","0","1","1","4","14","8","6","0","0"
"De Witt","3,249","11","0","1","3","7","132","35","85","12","2"
"Dover","1,405","9","0","0","0","9","24","15","8","1","0"
"Dumas","4,592","21","0","1","6","14","185","56","122","7","4"
"Earle","2,763","3","0","0","3","0","60","43","17","0","0"
"El Dorado","19,706","208","2","3","38","165","1,358","572","712","74","4"
"Elkins","2,624","6","0","2","0","4","17","5","10","2","0"
"Eureka Springs","2,356","7","0","1","1","5","122","23","95","4","0"
"Fairfield Bay","2,491","5","0","1","0","4","35","10","24","1","0"
"Farmington","4,802","7","0","2","0","5","81","26","55","0","2"
"Fayetteville","73,999","334","1","38","44","251","2,757","568","2,072","117","7"
"Fordyce","4,226","31","0","1","12","18","140","75","52","13","1"
"Forrest City","13,391","114","0","7","43","64","1,061","243","763","55","2"
"Fort Smith","84,847","660","2","90","107","461","4,711","1,068","3,386","257","10"
"Gassville","2,178","1","0","0","0","1","32","10","21","1","0"
"Gentry","2,885","2","0","0","0","2","28","15","11","2","0"
"Glenwood","2,017","7","0","0","0","7","29","24","5","0","0"
"Gosnell","3,609","29","0","1","1","27","93","44","47","2","1"
"Gravette","2,657","15","0","0","1","14","29","18","10","1","0"
"Greenbrier","4,414","0","0","0","0","0","4","1","3","0","0"
"Green Forest","3,027","16","0","2","0","14","71","41","27","3","1"
"Greenland","1,292","0","0","0","0","0","21","3","16","2","0"
"Greenwood","8,661","13","0","4","0","9","118","39","78","1","0"
"Greers Ferry","970","2","0","1","0","1","11","3","7","1","0"
"Gurdon","2,296","15","0","1","1","13","64","28","35","1","1"
"Hamburg","2,696","15","0","0","2","13","75","17","58","0","1"
"Harrisburg","2,108","14","0","3","0","11","110","35","67","8","0"
"Harrison","13,221","83","0","19","5","59","578","222","331","25","10"
"Hazen","1,471","4","0","1","0","3","26","5","19","2","0"
"Heber Springs","7,262","21","0","6","0","15","297","111","181","5","2"
"Helena-West Helena","12,147","305","2","17","44","242","1,043","564","445","34","8"
"Highland","1,084","0","0","0","0","0","24","9","14","1","0"
"Hope","10,463","96","0","5","12","79","618","160","428","30","4"
"Horseshoe Bend","2,208","0","0","0","0","0","31","9","21","1","0"
"Hot Springs","39,451","513","1","19","104","389","3,922","737","2,996","189","9"
"Hoxie","2,627","3","0","0","0","3","25","9","13","3","1"
"Jacksonville2","31,316","286","4","20","46","216","1,593","407","1,141","45","15"
"Jonesboro","64,187","278","5","32","89","152","3,227","1,269","1,853","105","17"
"Judsonia","2,169","2","0","0","0","2","15","2","12","1","0"
