"City","Population","Violent 
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Alamosa","8,599","60","1","7","5","47","442","72","359","11","7"
"Arvada","106,847","215","1","27","62","125","2,703","416","2,039","248","31"
"Aspen","5,767","32","0","4","2","26","385","48","321","16","0"
"Ault","1,400","9","0","2","0","7","49","13","35","1","0"
"Aurora","316,323","1,622","18","188","555","861","10,660","2,216","7,146","1,298","98"
"Avon","6,685","21","0","4","2","15","207","41","151","15","0"
"Basalt","3,224","4","0","0","0","4","110","3","105","2","0"
"Bayfield","2,015","0","0","0","0","0","11","1","8","2","0"
"Berthoud","5,339","2","0","0","0","2","125","26","94","5","2"
"Black Hawk","103","0","0","0","0","0","129","3","126","0","0"
"Boulder","93,410","201","0","40","33","128","2,913","486","2,305","122","27"
"Bow Mar","809","0","0","0","0","0","18","4","12","2","1"
"Breckenridge","3,439","11","0","0","2","9","411","27","382","2","0"
"Brighton","32,171","94","1","14","7","72","1,154","165","891","98","18"
"Broomfield","55,820","37","0","10","7","20","1,247","98","1,083","66","21"
"Brush","5,390","7","0","0","2","5","78","14","61","3","0"
"Buena Vista","2,122","0","0","0","0","0","16","7","9","0","0"
"Burlington","3,945","8","0","0","0","8","91","10","77","4","0"
"Canon City","15,885","83","2","27","4","50","568","80","465","23","9"
"Carbondale","6,221","31","0","8","0","23","185","34","143","8","0"
"Castle Rock","46,423","32","0","1","5","26","523","95","404","24","1"
"Cedaredge","2,250","3","0","0","0","3","29","5","22","2","0"
"Centennial","98,749","125","1","14","18","92","1,557","289","1,174","94","37"
"Center","2,373","4","1","0","1","2","34","7","25","2","1"
"Central City","548","3","0","0","0","3","31","3","28","0","0"
"Cherry Hills Village","6,329","1","0","0","1","0","63","27","33","3","0"
"Colorado Springs","378,403","1,999","24","335","518","1,122","16,067","3,402","11,541","1,124","108"
"Columbine Valley","1,315","0","0","0","0","0","14","2","12","0","0"
"Commerce City","44,451","162","2","21","18","121","1,385","284","912","189","9"
"Cortez","8,599","16","2","1","1","12","287","16","262","9","1"
"Craig","9,160","41","0","6","6","29","259","49","198","12","2"
"Crested Butte","1,648","0","0","0","0","0","23","2","19","2","0"
"Cripple Creek","1,024","6","0","0","0","6","51","3","46","2","0"
"Dacono","4,079","6","0","0","0","6","57","13","38","6","1"
"De Beque","496","0","0","0","0","0","11","5","5","1","0"
"Delta","8,728","42","0","10","0","32","325","70","239","16","5"
"Denver","592,881","3,361","40","282","951","2,088","19,316","5,173","10,547","3,596","147"
"Dillon","806","2","0","0","0","2","4","1","2","1","0"
"Durango","16,205","111","0","12","10","89","829","130","649","50","4"
"Eagle","5,963","8","0","0","0","8","106","14","87","5","0"
"Eaton","4,379","4","0","0","0","4","21","6","14","1","0"
"Edgewater","5,088","13","0","0","5","8","431","47","353","31","3"
"Elizabeth","1,449","2","0","0","0","2","52","13","35","4","2"
"Empire","324","1","0","0","0","1","6","0","6","0","0"
"Englewood","32,605","130","1","20","34","75","1,916","220","1,453","243","8"
"Erie","17,519","1","0","0","0","1","111","19","81","11","6"
"Estes Park","6,367","4","0","1","0","3","105","27","77","1","1"
"Evans","19,244","20","0","0","9","11","398","82","287","29","6"
"Federal Heights","11,620","50","0","12","11","27","563","82","418","63","2"
"Firestone","8,997","8","0","0","3","5","210","30","166","14","3"
"Florence","3,612","4","0","2","1","1","54","10","41","3","0"
"Fort Collins","135,785","549","2","75","39","433","4,607","784","3,582","241","23"
"Fort Lupton","7,527","15","0","1","3","11","170","38","119","13","2"
"Fort Morgan","10,582","24","0","2","3","19","333","66","256","11","2"
"Fountain","20,136","29","0","13","11","5","508","114","359","35","22"
"Fowler","1,094","3","0","0","0","3","26","4","22","0","0"
"Fraser/Winter Park","1,770","20","0","0","0","20","101","25","71","5","0"
"Frederick","8,908","19","0","0","0","19","141","23","113","5","1"
"Frisco","2,681","7","0","0","2","5","233","13","216","4","1"
"Fruita","7,346","9","0","4","1","4","248","65","169","14","1"
"Glendale","4,822","40","0","3","14","23","410","44","335","31","1"
"Glenwood Springs","9,089","52","0","4","6","42","491","54","416","21","6"
"Golden","17,175","41","0","1","5","35","484","54","404","26","3"
"Grand Junction","48,870","288","5","46","29","208","2,501","365","1,960","176","51"
"Greeley","91,900","518","4","46","69","399","3,415","748","2,461","206","29"
