"City","Population","Violent 
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Anchorage","280,068","2,647","10","263","544","1,830","9,211","1,191","7,254","766","106"
"Bethel","6,557","50","0","5","4","41","94","45","33","16","2"
"Bristol Bay Borough","963","0","0","0","0","0","52","18","17","17","0"
"Cordova","2,227","16","0","0","0","16","10","2","7","1","0"
"Craig","1,153","16","0","0","0","16","25","7","15","3","0"
"Dillingham","2,506","47","0","12","3","32","59","9","30","20","0"
"Fairbanks","35,131","272","3","41","28","200","1,189","141","921","127","3"
"Haines","2,255","8","0","0","0","8","37","6","31","0","0"
"Homer","5,808","51","1","0","2","48","282","67","198","17","0"
"Houston","2,153","3","0","0","0","3","29","9","17","3","0"
"Juneau","30,692","122","0","27","9","86","1,161","141","974","46","5"
"Kenai","7,784","50","0","2","2","46","313","42","256","15","1"
"Ketchikan","7,305","28","1","12","2","13","426","36","367","23","0"
"Kodiak","6,159","37","1","1","3","32","215","32","161","22","2"
"Kotzebue","3,160","12","0","5","1","6","17","7","5","5","0"
"North Pole","2,276","10","0","4","3","3","104","12","78","14","0"
"North Slope Borough","6,419","60","0","1","0","59","108","37","58","13","2"
"Palmer","8,292","60","0","2","3","55","304","32","262","10","0"
"Petersburg","2,839","20","1","0","0","19","148","27","118","3","0"
"Seward","3,092","3","0","0","0","3","115","9","102","4","1"
"Sitka","8,879","13","1","3","0","9","332","18","273","41","0"
"Skagway","818","6","0","1","0","5","58","5","53","0","0"
"Soldotna","4,360","12","0","1","0","11","256","18","231","7","0"
"St. Paul","432","2","0","1","0","1","3","3","0","0","0"
"Unalaska","3,789","14","0","0","1","13","0","9","54","3","2"
"Wasilla","10,497","64","0","0","4","60","417","38","360","19","2"
"Wrangell","1,998","3","0","0","0","3","112","18","90","4","0"
